article_id,title,source_name,author,published_at,url,content_excerpt,tone,region_focus,created_at
a0db8b8764b483c35b232e0f46e14a59,"1,058 miles without stopping –the world's longest-range SUV just landed in China, and Tesla should be worried",TechRadar,Leon Poultney,2026-01-13T13:06:46Z,https://www.techradar.com/vehicle-tech/dash-cams/1-058-miles-without-stopping-the-worlds-longest-range-suv-just-landed-in-china-and-tesla-should-be-worried,<ul><li>China’s Xpeng says G7 has the longest range of any SUV</li><li>Owners can travel from Beijing and Shanghai without stopping</li><li>Company aims to rapidly expand outside of China in coming y… [+3574 chars],,"USA, China",2026-01-14T13:33:01.186021
f29bf3a25fc36fee828cd4d6e12e47e7,"Robotics Market Projected to Reach US$ 199.50 Billion by 2035, Supported by Continued Investment Activity Says Astute Analytica",GlobeNewswire,AstuteAnalytica India Pvt. Ltd.,2026-01-13T12:30:00Z,https://www.globenewswire.com/news-release/2026/01/13/3217672/0/en/Robotics-Market-Projected-to-Reach-US-199-50-Billion-by-2035-Supported-by-Continued-Investment-Activity-Says-Astute-Analytica.html,"Chicago, Jan. 13, 2026 (GLOBE NEWSWIRE) -- The global robotics market was valued at US$ 51.51 billion in 2025 and is projected to hit the market valuation of US$ 199.50 billion by 2035 at a CAGR of 1… [+20811 chars]",,USA,2026-01-14T13:33:01.186184
179e5039a7a22e0405ec424b22f6ef32,Biggest AI Companies In 2026: Leaders Shaping The Future Of Artificial Intelligence,Elearningindustry.com,Christopher Pappas,2026-01-12T14:00:41Z,https://elearningindustry.com/biggest-ai-companies-leaders-shaping-the-future-of-artificial-intelligence,"The AI Landscape In 2026
Have you ever wondered how many AI companies are operating? 212,230 companies, of which 62,184 are startups. Not only that, but approximately 2049 new companies are founded … [+23853 chars]",,USA,2026-01-14T13:33:01.331987
aae314a9f43581752557bfc665a95182,"Nvidia, Tesla chase same self-driving goal via varying paths",Bloomberg,Bloomberg,2026-01-11T04:09:34Z,https://www.bloomberg.com/news/articles/2026-01-10/nvidia-and-tesla-chase-same-self-driving-goal-via-varying-paths,"Jensen Huang took the stage at the CES trade show in Las Vegas this week to make the clearest pitch yet for Nvidia Corp.s autonomous driving technology. In doing so, the chief executive officers visi… [+7042 chars]",,Global,2026-01-14T13:33:01.332152
74d7b2fe69fd0c1e6cd627a2af63ade2,Tesla loses lead as China's BYD tops EV sales in Germany and UK — details here,Livemint,Eshita Gain,2026-01-06T14:35:02Z,https://www.livemint.com/companies/news/tesla-loses-lead-as-chinas-byd-tops-ev-sales-in-germany-and-uk-details-here-11767704718887.html,"In a major shift in the automotive industry, China's BYD Company has sold more electric cars than Tesla Inc in Europe's two largest electric-vehicle markets last year Germany and the United Kingdom.… [+2308 chars]",,"Europe, USA, China",2026-01-14T13:33:01.476707
0c10dedbb2c5b306e8d4caacc33cee5c,What Falling Sales? BEVs Jump 37% YoY in November in Europe!,CleanTechnica,José Pontes,2025-12-31T17:05:16Z,https://cleantechnica.com/2025/12/31/what-falling-sales-bevs-jump-37-yoy-in-november-in-europe/,"Support CleanTechnica's work through a Substack subscription or on Stripe.
BEVs reach 24% market share!
EVs are picking up in Europe, with some 370,000 plugin vehicles being registered in Europe in… [+15613 chars]",,Europe,2026-01-14T13:33:01.476823
5ef9406726d78958e579859dbe9e4b60,Is Norway the Silver Lining That Tesla Stock Needs in 2026?,Barchart.com,Anushka Dutta,2026-01-06T17:58:44Z,https://www.barchart.com/story/news/36911273/is-norway-the-silver-lining-that-tesla-stock-needs-in-2026,"Despite lingering concerns about Tesla's (TSLA) loosening grip on the European market, Norway remains a bright spot. According to the European Automobile Manufacturers Association (ACEA), Teslas Dece… [+5498 chars]",,USA,2026-01-14T13:33:01.946467
f5d77c4e16857df200d7b7275352c2dd,Uber Technologies Is the Robotaxi Winner of 2026,24/7 Wall St.,Rich Duprey,2026-01-06T17:33:12Z,https://247wallst.com/investing/2026/01/06/uber-technologies-is-the-robotaxi-winner-of-2026/,"Courtesy of Lucid Group
<ul><li>Uber Technologies (UBER) partners with Nvidia on Alpamayo AI models and DRIVE platforms to scale autonomous fleets to 100,000 vehicles starting in 2027.
</li><li>Ube… [+5839 chars]",,USA,2026-01-14T13:33:01.621957
0afdf19b1a36c15cb2007c666787b4f2,io9’s Top 100 Stories of 2025,Gizmodo.com,Io9 Staff,2025-12-30T17:00:41Z,https://gizmodo.com/io9-top-stories-2025-star-wars-marvel-2000704022,"Now 2025 is in its twilight, but as we’ve spent all of December reflecting on the year that was, it’s only fitting that we’re also reflecting on our own stories about it, too. Need a lot of things to… [+48697 chars]",,Global,2026-01-14T13:33:01.769189
7ada4ae13f99dc3d21fe6b037fa040a5,The Final Shutdown: Pour One Out for the Tech That Died in 2025,PCMag.com,Chloe Albanesius,2025-12-29T15:31:16Z,https://uk.pcmag.com/news/162257/the-final-shutdown-pour-one-out-for-the-tech-that-died-in-2025,"It's time once again for a final look back at the technology that said farewell in 2025. From stalwarts like Skype to AI devices that never had a chance, everything on this list made its way to the d… [+28658 chars]",,Global,2026-01-14T13:33:01.769347
ca388342442e82d0bd57262799d095a1,"Boralex Commissions Sanjgon Energy Storage Project, Initially Tilbury, Its First Operational Storage Facility in North America",GlobeNewswire,Boralex Inc.,2026-01-06T12:00:00Z,https://www.globenewswire.com/news-release/2026/01/06/3213440/0/en/Boralex-Commissions-Sanjgon-Energy-Storage-Project-Initially-Tilbury-Its-First-Operational-Storage-Facility-in-North-America.html,"LAKESHORE, Ontario, Jan. 06, 2026 (GLOBE NEWSWIRE) -- Boralex inc. (Boralex) (TSX: BLX), in partnership with Walpole Island First Nation, announces the commercial commissioning of Sanjgon Battery Ene… [+8652 chars]",,USA,2026-01-14T13:33:01.946763
